0.00-11.62 press up
25.02 steer 11447
25.03 steer 13157
25.04 steer 17150
25.05 steer 15440
25.06 steer 13727
25.07 steer 13157
25.08 steer 12587
25.10 steer 10307
25.11 steer 6316
25.12 steer 2896
25.13 steer 0
25.36 steer -1137
25.37 steer -3966
25.38 steer -5663
25.39 steer -9057
25.40 steer -10754
25.41 steer -13017
25.42 steer -11320
25.43 steer -11886
25.46 steer -10188
25.47 steer -6794
25.48 steer -2834
25.49 steer 0
26.84 steer 2896
26.85 steer 13157
26.86 steer 18290
26.87 steer 22281
26.88 steer 26844
26.89 steer 29694
26.90 steer 37105
26.92 steer 43949
26.93 steer 47369
26.94 steer 50222
26.95 steer 58203
26.96 steer 60484
26.97 steer 63336
26.98 steer 65536
27.13 steer 59914
27.14 steer 49650
27.15 steer 24561
27.17 steer 0
27.18 steer -7926
27.19 steer -14716
27.20 steer -22070
27.21 steer -35082
27.21-30.06 press up
27.23 steer -40173
27.25 steer -43002
27.26 steer -45264
27.27 steer -45830
27.30 steer -43567
27.32 steer -40739
27.33 steer -37344
27.34 steer -32253
27.35 steer -13017
27.36 steer -5663
27.37 steer 0
27.40 steer 1753
27.41 steer 4036
27.42 steer 6886
27.43 steer 10307
27.45 steer 11447
27.46 steer 10877
27.47 steer 12587
27.48 steer 13157
27.49 steer 11447
27.50 steer 13157
27.51 steer 13727
27.54 steer 17150
27.55 steer 17720
27.56 steer 18290
27.57 steer 21711
27.59 steer 23991
27.60 steer 24561
27.61 steer 25701
27.62 steer 26274
27.63 steer 26844
27.65 steer 28554
27.66 steer 29694
27.70 steer 30264
27.71 steer 28554
27.79 steer 30264
28.07 steer 28554
28.10 steer 27984
28.14 steer 26844
28.15 steer 25701
28.16 steer 23421
28.18 steer 21141
28.19 steer 18290
28.20 steer 17150
28.22 steer 14870
28.23 steer 12587
28.25 steer 9167
28.26 steer 7456
28.28 steer 2896
28.29 steer 2326
28.30 steer 0
28.41-28.54 press down
28.54 steer 1753
28.56 steer 2326
28.89 steer 0
28.99 steer 1753
29.56 steer 0
29.62 steer -7926
29.64 steer -18676
29.65 steer -25465
29.66 steer -32253
29.67 steer -43567
29.68 steer -49224
29.69 steer -54318
29.70 steer -59409
29.71 steer -65536
30.42 steer -65066
30.43 steer -61672
30.44 steer -56581
30.45 steer -51489
30.46 steer -46396
30.48 steer -45264
30.49 steer -44133
30.50 steer -41304
30.51 steer -39042
30.52 steer -37910
30.53 steer -35647
30.54 steer -24333
30.55 steer -14716
30.56 steer -9057
30.57 steer 0
30.90 steer 2326
30.91 steer 2896
30.92 steer 4036
30.94 steer 4606
30.98 steer 5176
31.06 steer 2896
31.11-31.26 press down
31.14 steer 2326
31.15 steer 0
31.21 steer -3400
31.23 steer -6228
31.24 steer -8491
31.25 steer -10188
31.26 steer -13017
31.27 steer -15848
31.28 steer -17545
31.29 steer -19242
31.30 steer -19808
31.31 steer -24333
31.32 steer -24899
31.33 steer -25465
31.34 steer -26596
31.35 steer -25465
31.36 steer -27162
31.37 steer -27727
31.39 steer -23768
31.40 steer -22070
31.43 steer -19242
31.44 steer -17545
31.45 steer -16413
31.46 steer -13583
31.47 steer -11886
31.48 steer -11320
31.49 steer -10754
31.50 steer -7926
31.51 steer -2268
31.51-35.18 press up
31.52 steer 0
31.56 steer 2326
31.57 steer 2896
31.58 steer 5176
31.59 steer 6316
31.65 steer 4606
31.66 steer 4036
31.67 steer 2896
31.68 steer 0
31.71 steer -2834
31.72 steer -8491
31.73 steer -10754
31.74 steer -14151
31.75 steer -19242
31.76 steer -21505
31.77 steer -24333
31.78 steer -24899
31.79 steer -25465
31.81 steer -27727
31.82 steer -29425
31.84 steer -28293
31.85 steer -25465
31.86 steer -23768
31.89 steer -22636
31.90 steer -14151
31.91 steer -10188
31.92 steer -3966
31.93 steer 0
31.96 steer 2896
31.97 steer 6316
31.98 steer 9167
31.99 steer 10307
32.00 steer 11447
32.03 steer 10877
32.04 steer 12587
32.05 steer 10877
32.06 steer 12587
32.12 steer 13157
32.15 steer 13727
32.17 steer 10877
32.18 steer 8597
32.19 steer 6316
32.20 steer 1753
32.21 steer 0
32.26 steer -3400
32.27 steer -6228
32.28 steer -9057
32.29 steer -10754
32.30 steer -13017
32.31 steer -16413
32.32 steer -16979
32.33 steer -17545
32.34 steer -18676
32.35 steer -19242
32.36 steer -19808
32.37 steer -21505
32.38 steer -24333
32.39 steer -22636
32.41 steer -22070
32.44 steer -22636
32.45 steer -23768
32.46 steer -24899
32.48 steer -27162
32.50 steer -28293
32.51 steer -29425
32.52 steer -28293
32.53 steer -27162
32.54 steer -29990
32.56 steer -32253
32.57 steer -33385
32.59 steer -35082
32.60 steer -34516
32.63 steer -33385
32.64 steer -32819
32.67 steer -36213
32.68 steer -37344
32.69 steer -38476
32.70 steer -40173
32.71 steer -40739
32.72 steer -39042
32.74 steer -38476
32.76 steer -37910
32.77 steer -37344
32.78 steer -35082
32.79 steer -29990
32.80 steer -29425
32.82 steer -27727
32.83 steer -27162
32.84 steer -26596
32.85 steer -25465
32.87 steer -24333
32.88 steer -22636
32.89 steer -21505
32.90 steer -17545
32.92 steer -16979
32.94 steer -16413
32.95 steer -15848
32.96 steer -14151
32.97 steer -11886
32.98 steer -10754
32.99 steer -5097
33.00 steer -1137
33.01 steer 0
33.28 steer -5097
33.29 steer -6228
33.30 steer -9057
33.31 steer -10188
33.32 steer -11320
33.34 steer -13017
33.35 steer -14151
33.37 steer -11886
33.38 steer -11320
33.39 steer -10754
33.40 steer -10188
33.41 steer -7926
33.42 steer -3966
33.43 steer 0
33.46 steer 7456
33.47 steer 11447
33.48 steer 14870
33.49 steer 17150
33.50 steer 17720
33.51 steer 15440
33.52 steer 13727
33.53 steer 13157
33.54 steer 4606
33.56 steer 0
33.59 steer -9057
33.60 steer -14151
33.61 steer -17545
33.62 steer -20939
33.63 steer -26596
33.64 steer -29425
33.65 steer -31687
33.66 steer -35082
33.68 steer -37910
33.69 steer -39042
33.70 steer -40739
33.71 steer -43002
33.73 steer -43567
33.74 steer -44133
33.77 steer -45264
33.78 steer -46396
33.79 steer -48659
33.80 steer -49224
33.81 steer -49790
33.83 steer -50924
33.85 steer -49224
33.87 steer -48093
33.88 steer -43002
33.89 steer -38476
33.90 steer -29425
33.91 steer -21505
33.92 steer -16979
33.93 steer -14151
33.96 steer -15848
33.98 steer -16979
34.00 steer -17545
34.09 steer -14716
34.10 steer -10754
34.11 steer -7926
34.12 steer -5097
34.13 steer -1137
34.14 steer 0
34.26 steer -5663
34.28 steer -13017
34.29 steer -16413
34.30 steer -19242
34.31 steer -24899
34.32 steer -35082
34.33 steer -39042
34.34 steer -42436
34.35 steer -49224
34.36 steer -52055
34.37 steer -54318
34.38 steer -59975
34.39 steer -65536
34.78 steer -65066
34.79 steer -44133
34.80 steer -34516
34.81 steer -22636
34.82 steer -6794
34.84 steer -5097
34.85 steer -10754
34.87 steer -16413
34.88 steer -18676
34.89 steer -20939
34.90 steer -23768
34.92 steer -27162
34.93 steer -37910
34.95 steer -52621
34.96 steer -61672
34.97 steer -65536
35.18 steer -52055
35.20 steer -36213
35.21 steer -15848
35.23 steer -5097
35.24 steer 0
35.26-46.82 press up
35.31 steer 4606
35.32 steer 9167
35.33 steer 13727
35.34 steer 18290
35.35 steer 22281
35.36 steer 24561
35.38 steer 22281
35.40 steer 21711
35.41 steer 21141
35.42 steer 19430
35.49 steer 21141
35.50 steer 25701
35.51 steer 26844
35.52 steer 27984
35.54 steer 26274
35.59 steer 25701
35.60 steer 23991
35.61 steer 23421
35.62 steer 22281
35.63 steer 21711
35.65 steer 23421
35.66 steer 23991
35.67 steer 24561
35.70 steer 22281
35.71 steer 21141
35.71-35.85 press down
35.72 steer 19430
35.74 steer 17720
35.75 steer 16010
35.76 steer 15440
35.77 steer 13727
35.78 steer 11447
35.79 steer 8597
35.81 steer 0
35.95 steer 6316
35.96 steer 11447
35.97 steer 17150
35.98 steer 23421
36.00 steer 26274
36.02 steer 25701
36.03 steer 24561
36.04 steer 23991
36.07 steer 23421
36.28 steer 22281
36.29 steer 21711
36.30 steer 21141
36.31 steer 15440
36.32 steer 10877
36.33 steer 7456
36.34 steer 2896
36.35 steer 0
36.40 steer -5097
36.41 steer -9057
36.42 steer -10188
36.43 steer -14151
36.44 steer -16979
36.45 steer -17545
36.46 steer -19242
36.50 steer -19808
36.51 steer -20939
36.52 steer -19242
36.53 steer -20939
36.54 steer -18676
36.57 steer -17545
36.59 steer -16979
36.62 steer -16413
36.64 steer -15848
36.65 steer -14716
36.66 steer -13583
36.67 steer -7926
36.68 steer -5097
36.69 steer 0
36.80 steer 1753
36.81 steer 2326
36.82 steer 0
36.87 steer 2896
36.88 steer 4036
36.89 steer 7456
36.90 steer 17720
36.92 steer 29694
36.93 steer 35395
36.94 steer 41668
36.95 steer 50222
36.96 steer 54213
36.97 steer 58203
36.98 steer 65536
37.09 steer 61054
37.10 steer 51932
37.11 steer 46229
37.12 steer 41098
37.13 steer 34255
37.14 steer 26844
37.17 steer 30264
37.18 steer 52502
37.20 steer 65536
38.38 steer 64476
38.39 steer 59914
38.40 steer 54213
38.41 steer 47369
38.42 steer 40528
38.43 steer 26844
38.44 steer 21141
38.45 steer 13727
38.46 steer 2896
38.47 steer 0
38.53 steer -2268
38.54 steer -10188
38.56 steer -14716
38.57 steer -17545
38.58 steer -19808
38.60 steer -20939
38.62 steer -18676
38.64 steer -16979
38.65 steer -14151
38.66 steer -9057
38.68 steer 0
38.84 steer -1137
38.85 steer -5663
38.86 steer -8491
38.87 steer -10188
38.88 steer -10754
38.89 steer -11320
39.02 steer -6794
39.03 steer -1137
39.04 steer 0
39.07 steer 1753
39.08 steer 2326
39.09 steer 2896
39.12 steer 0
39.59 steer -2834
39.60 steer -3966
39.61 steer -6794
39.62 steer -8491
39.63 steer -10188
39.64 steer -11320
39.65 steer -14716
39.66 steer -16979
39.67 steer -17545
39.68 steer -15848
39.69 steer -14716
39.70 steer -14151
39.71 steer -8491
39.72 steer -2268
39.73 steer 0
39.76 steer 1753
39.77 steer 2326
39.78 steer 4036
39.80 steer 4606
39.81 steer 2896
39.82 steer 2326
39.83 steer 1753
39.86 steer 0
40.23 steer -1137
40.24 steer -3966
40.25 steer -5663
40.26 steer -10188
40.27 steer -10754
40.28 steer -11320
40.29 steer -11886
40.30 steer -14151
40.31 steer -16413
40.32 steer -16979
40.33 steer -17545
40.35 steer -15848
40.36 steer -14716
40.38 steer -11886
40.39 steer -10188
40.40 steer -5663
40.41 steer -1137
40.42 steer 0
40.48 steer 2326
40.51 steer 0
41.07 steer 4606
41.08 steer 8597
41.09 steer 10307
41.10 steer 13727
41.12 steer 14870
41.14 steer 13157
41.15 steer 11447
41.18 steer 5176
41.20 steer 0
41.29 steer -2268
41.30 steer -2834
41.33 steer -1137
41.34 steer 0
41.35 steer -3966
41.36 steer -5663
41.37 steer -8491
41.38 steer -6794
41.39 steer -6228
41.40 steer -5663
41.43 steer -5097
41.44 steer -3966
41.45 steer -2268
41.46 steer 0
41.68 steer -5097
41.69 steer -9057
41.70 steer -11320
41.71 steer -18676
41.72 steer -19808
41.73 steer -22070
41.74 steer -24333
41.75 steer -25465
41.76 steer -23768
41.77 steer -21505
41.78 steer -20939
41.79 steer -14716
