0.00-23.00 press up
25.56 steer -13942
25.57 steer -11791
25.58 steer 1919
25.59 steer 0
26.00 steer 786
26.01 steer 2648
26.02 steer 4740
26.03 steer 6839
26.04 steer 9729
26.05 steer 12217
26.06 steer 17112
26.07 steer 19548
26.08 steer 21605
26.09 steer 25293
26.10 steer 26621
26.11 steer 27697
26.12 steer 28530
26.13 steer 29372
26.14 steer 28679
26.15 steer 27353
26.16 steer 24915
26.17 steer 7662
26.18 steer 5352
26.19 steer 3476
26.20 steer 1949
26.21 steer 0
27.24-27.38 press down
28.07 steer -16337
28.08 steer -18711
28.09 steer -39021
28.10 steer -41000
28.11 steer -65536
28.53-40.06 press up
29.12 steer -65237
29.13 steer -63983
29.14 steer -61267
29.15 steer -43042
29.16 steer -24709
29.17 steer -22541
29.18 steer -3288
29.19 steer 0
30.41-30.66 press down
31.34 steer -1999
31.35 steer -4281
31.36 steer -6389
31.37 steer -8488
31.38 steer -13190
31.39 steer -15422
31.40 steer -17454
31.41 steer -19419
31.42 steer -21330
31.43 steer -24374
31.44 steer -25491
31.45 steer -26371
31.46 steer -27626
31.47 steer -28066
31.48 steer -28417
31.49 steer -28913
31.50 steer -29044
31.52 steer -27975
31.53 steer -23826
31.54 steer -6747
31.55 steer -5277
31.56 steer -3405
31.57 steer 0
32.03 steer -1309
32.04 steer -5674
32.05 steer -8009
32.06 steer -10593
32.07 steer -13144
32.08 steer -17298
32.09 steer -20571
32.11 steer -23420
32.12 steer -24798
32.13 steer -26110
32.14 steer -27461
32.15 steer -28883
32.16 steer -31170
32.17 steer -32151
32.18 steer -32911
32.19 steer -33493
32.20 steer -34402
32.21 steer -34739
32.22 steer -35007
32.23 steer -35223
32.24 steer -35535
32.25 steer -35647
32.27 steer -35305
32.28 steer -32670
32.29 steer -30706
32.30 steer -28105
32.31 steer -9038
32.32 steer -8018
32.33 steer -6325
32.34 steer -4417
32.35 steer -1433
32.37 steer 0
32.55 steer -12256
32.56 steer -13346
32.57 steer -15676
32.58 steer -33193
32.59 steer -34725
32.60 steer -36778
32.61 steer -39117
32.62 steer -41356
32.63 steer -60015
32.64 steer -60739
32.65 steer -65536
32.71 steer -65276
32.72 steer -64210
32.73 steer -62143
32.74 steer -44388
32.75 steer -25986
32.76 steer -23761
32.77 steer -4057
32.78 steer -706
32.79 steer 0
32.93 steer 21530
32.94 steer 22273
32.95 steer 24500
32.96 steer 40471
32.97 steer 44374
32.98 steer 62522
32.99 steer 65536
34.82 steer 65136
34.83 steer 63402
34.84 steer 46120
34.84-35.19 press down
34.85 steer 43567
34.86 steer 1917
34.87 steer 0
34.99 steer -2850
35.00 steer -4488
35.01 steer -6107
35.02 steer -7644
35.03 steer -10905
35.04 steer -12860
35.05 steer -15075
35.06 steer -17422
35.07 steer -23075
35.09 steer -28619
35.10 steer -31271
35.11 steer -33748
35.12 steer -35927
35.13 steer -39638
35.14 steer -41310
35.15 steer -42819
35.16 steer -45042
35.17 steer -45831
35.18 steer -46462
35.19 steer -46966
35.20 steer -47693
35.21 steer -47939
35.22 steer -48136
35.24 steer -44989
35.25 steer -42386
